type,n,msecs,kbytes
texts,50000,12979,1587.6845703125
texts,50000,12989,1587.7333984375
texts,50000,12981,1587.7822265625
texts,50000,12985,1587.8310546875
texts,50000,12981,1587.8798828125
texts,50000,12988,1587.9287109375
texts,100000,24433,3123.9609375
texts,100000,25967,3124.0703125
texts,100000,25973,3124.1171875
texts,100000,25968,3124.1640625
texts,100000,25971,3124.2109375
texts,100000,25978,3124.2578125
texts,100000,25967,3124.3046875
texts,100000,25978,3124.3515625
texts,100000,25969,3124.3984375
texts,100000,25969,3124.4453125
texts,500000,123438,12339.9609375
texts,500000,129778,12340.072265625
texts,500000,129897,12340.123046875
texts,500000,129888,12340.173828125
texts,500000,129971,12340.224609375
texts,500000,129858,12340.275390625
texts,500000,129791,12340.326171875
texts,500000,129877,12340.376953125
texts,500000,129893,12340.427734375
texts,500000,129968,12340.478515625
